|dates|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedCases.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|88.0|0|1.0|0|0.0|0
0|2020-05-25|91.0|0|1.0|0|0.0|0
0|2020-05-26|91.0|0|1.0|0|0.0|0
