|dates|Ouray_Colorado_UnitedStates.JHU_ConfirmedCases.data|Ouray_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Ouray_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Ouray_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Ouray_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Ouray_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|6.0|0|1.0|0|0.0|0
0|2020-05-15|7.0|0|1.0|0|0.0|0
0|2020-05-16|7.0|0|1.0|0|0.0|0
