|dates|Fresno_California_UnitedStates.JHU_ConfirmedCases.data|Fresno_California_UnitedStates.JHU_ConfirmedCases.missing|Fresno_California_UnitedStates.JHU_ConfirmedDeaths.data|Fresno_California_UnitedStates.JHU_ConfirmedDeaths.missing|Fresno_California_UnitedStates.JHU_ConfirmedRecoveries.data|Fresno_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1192.0|0|16.0|0|0.0|0
0|2020-05-18|1192.0|0|16.0|0|0.0|0
0|2020-05-19|1287.0|0|17.0|0|0.0|0
0|2020-05-20|1338.0|0|20.0|0|0.0|0
0|2020-05-21|1338.0|0|20.0|0|0.0|0
0|2020-05-22|1372.0|0|22.0|0|0.0|0
0|2020-05-23|1372.0|0|22.0|0|0.0|0
