|dates|Manatee_Florida_UnitedStates.JHU_ConfirmedCases.data|Manatee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Manatee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Manatee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Manatee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Manatee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|849.0|0|81.0|0|0.0|0
0|2020-05-18|867.0|0|81.0|0|0.0|0
0|2020-05-19|888.0|0|82.0|0|0.0|0
0|2020-05-20|893.0|0|84.0|0|0.0|0
0|2020-05-21|933.0|0|88.0|0|0.0|0
0|2020-05-22|946.0|0|90.0|0|0.0|0
0|2020-05-23|946.0|0|90.0|0|0.0|0
