|dates|Alcorn_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Alcorn_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Alcorn_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Alcorn_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Alcorn_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Alcorn_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|14.0|0|1.0|0|0.0|0
0|2020-05-28|14.0|0|1.0|0|0.0|0
0|2020-05-29|14.0|0|1.0|0|0.0|0
0|2020-05-30|14.0|0|1.0|0|0.0|0
