|dates|Dakota_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Dakota_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Dakota_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Dakota_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Dakota_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Dakota_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|742.0|0|23.0|0|0.0|0
0|2020-05-18|802.0|0|23.0|0|0.0|0
0|2020-05-19|841.0|0|25.0|0|0.0|0
0|2020-05-20|885.0|0|31.0|0|0.0|0
0|2020-05-21|929.0|0|32.0|0|0.0|0
0|2020-05-22|961.0|0|33.0|0|0.0|0
0|2020-05-23|961.0|0|33.0|0|0.0|0
