|dates|Macon_Illinois_UnitedStates.JHU_ConfirmedCases.data|Macon_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Macon_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Macon_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Macon_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Macon_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|189.0|0|19.0|0|0.0|0
0|2020-05-28|189.0|0|19.0|0|0.0|0
0|2020-05-29|189.0|0|19.0|0|0.0|0
0|2020-05-30|189.0|0|19.0|0|0.0|0
