|dates|Genesee_NewYork_UnitedStates.JHU_ConfirmedCases.data|Genesee_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Genesee_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Genesee_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Genesee_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Genesee_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|195.0|0|4.0|0|0.0|0
0|2020-05-28|195.0|0|4.0|0|0.0|0
0|2020-05-29|195.0|0|4.0|0|0.0|0
0|2020-05-30|195.0|0|4.0|0|0.0|0
