|dates|Polk_Florida_UnitedStates.JHU_ConfirmedCases.data|Polk_Florida_UnitedStates.JHU_ConfirmedCases.missing|Polk_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|736.0|0|42.0|0|0.0|0
0|2020-05-18|746.0|0|43.0|0|0.0|0
0|2020-05-19|766.0|0|45.0|0|0.0|0
0|2020-05-20|786.0|0|45.0|0|0.0|0
0|2020-05-21|822.0|0|46.0|0|0.0|0
0|2020-05-22|840.0|0|49.0|0|0.0|0
0|2020-05-23|840.0|0|49.0|0|0.0|0
