|dates|Fayette_Indiana_UnitedStates.JHU_ConfirmedCases.data|Fayette_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|42.0|0|4.0|0|0.0|0
0|2020-05-18|42.0|0|4.0|0|0.0|0
0|2020-05-19|42.0|0|4.0|0|0.0|0
0|2020-05-20|43.0|0|4.0|0|0.0|0
0|2020-05-21|50.0|0|4.0|0|0.0|0
0|2020-05-22|50.0|0|4.0|0|0.0|0
0|2020-05-23|50.0|0|4.0|0|0.0|0
