|dates|Pleasants_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Pleasants_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Pleasants_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Pleasants_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Pleasants_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Pleasants_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|4.0|0|0.0|0|0.0|0
0|2020-05-25|4.0|0|0.0|0|0.0|0
0|2020-05-26|4.0|0|0.0|0|0.0|0
