|dates|Alamosa_Colorado_UnitedStates.JHU_ConfirmedCases.data|Alamosa_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Alamosa_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Alamosa_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Alamosa_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Alamosa_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|41.0|0|2.0|0|0.0|0
0|2020-05-18|42.0|0|2.0|0|0.0|0
0|2020-05-19|43.0|0|2.0|0|0.0|0
0|2020-05-20|43.0|0|2.0|0|0.0|0
0|2020-05-21|51.0|0|2.0|0|0.0|0
0|2020-05-22|51.0|0|2.0|0|0.0|0
0|2020-05-23|51.0|0|2.0|0|0.0|0
