|dates|Richland_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Richland_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Richland_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Richland_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Richland_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Richland_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|14.0|0|4.0|0|0.0|0
0|2020-05-28|14.0|0|4.0|0|0.0|0
0|2020-05-29|14.0|0|4.0|0|0.0|0
0|2020-05-30|14.0|0|4.0|0|0.0|0
