|dates|Matanuska-Susitna_Alaska_UnitedStates.JHU_ConfirmedCases.data|Matanuska-Susitna_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Matanuska-Susitna_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Matanuska-Susitna_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Matanuska-Susitna_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Matanuska-Susitna_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|21.0|0|1.0|0|0.0|0
0|2020-05-18|21.0|0|1.0|0|0.0|0
0|2020-05-19|22.0|0|1.0|0|0.0|0
0|2020-05-20|22.0|0|1.0|0|0.0|0
0|2020-05-21|22.0|0|1.0|0|0.0|0
0|2020-05-22|22.0|0|1.0|0|0.0|0
0|2020-05-23|22.0|0|1.0|0|0.0|0
