|dates|Morrow_Ohio_UnitedStates.JHU_ConfirmedCases.data|Morrow_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Morrow_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Morrow_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Morrow_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Morrow_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|104.0|0|1.0|0|0.0|0
0|2020-05-28|104.0|0|1.0|0|0.0|0
0|2020-05-29|104.0|0|1.0|0|0.0|0
0|2020-05-30|104.0|0|1.0|0|0.0|0
