|dates|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|9.0|0|0.0|0|0.0|0
0|2020-05-25|9.0|0|0.0|0|0.0|0
0|2020-05-26|9.0|0|0.0|0|0.0|0
