|dates|Juniata_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Juniata_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Juniata_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Juniata_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Juniata_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Juniata_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|94.0|0|1.0|0|0.0|0
0|2020-05-18|94.0|0|2.0|0|0.0|0
0|2020-05-19|94.0|0|2.0|0|0.0|0
0|2020-05-20|94.0|0|2.0|0|0.0|0
0|2020-05-21|94.0|0|3.0|0|0.0|0
0|2020-05-22|94.0|0|4.0|0|0.0|0
0|2020-05-23|94.0|0|4.0|0|0.0|0
