|dates|Warrick_Indiana_UnitedStates.JHU_ConfirmedCases.data|Warrick_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Warrick_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Warrick_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Warrick_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Warrick_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|150.0|0|24.0|0|0.0|0
0|2020-05-18|151.0|0|24.0|0|0.0|0
0|2020-05-19|151.0|0|25.0|0|0.0|0
0|2020-05-20|154.0|0|26.0|0|0.0|0
0|2020-05-21|157.0|0|26.0|0|0.0|0
0|2020-05-22|158.0|0|26.0|0|0.0|0
0|2020-05-23|158.0|0|26.0|0|0.0|0
