|dates|Yoakum_Texas_UnitedStates.JHU_ConfirmedCases.data|Yoakum_Texas_UnitedStates.JHU_ConfirmedCases.missing|Yoakum_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Yoakum_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Yoakum_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Yoakum_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|2.0|0|0.0|0|0.0|0
0|2020-05-15|2.0|0|0.0|0|0.0|0
0|2020-05-16|2.0|0|0.0|0|0.0|0
