|dates|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Niobrara_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|2.0|0|0.0|0|0.0|0
0|2020-05-25|2.0|0|0.0|0|0.0|0
0|2020-05-26|2.0|0|0.0|0|0.0|0
