|dates|Lauderdale_Alabama_UnitedStates.JHU_ConfirmedCases.data|Lauderdale_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Lauderdale_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Lauderdale_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Lauderdale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Lauderdale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|113.0|0|2.0|0|0.0|0
0|2020-05-18|115.0|0|2.0|0|0.0|0
0|2020-05-19|116.0|0|2.0|0|0.0|0
0|2020-05-20|117.0|0|2.0|0|0.0|0
0|2020-05-21|119.0|0|2.0|0|0.0|0
0|2020-05-22|122.0|0|2.0|0|0.0|0
0|2020-05-23|122.0|0|2.0|0|0.0|0
