|dates|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|107.0|0|1.0|0|0.0|0
0|2020-05-18|113.0|0|1.0|0|0.0|0
0|2020-05-19|113.0|0|1.0|0|0.0|0
0|2020-05-20|125.0|0|1.0|0|0.0|0
0|2020-05-21|125.0|0|1.0|0|0.0|0
0|2020-05-22|147.0|0|1.0|0|0.0|0
0|2020-05-23|147.0|0|1.0|0|0.0|0
