|dates|Dane_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Dane_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Dane_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Dane_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Dane_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Dane_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|537.0|0|25.0|0|0.0|0
0|2020-05-18|538.0|0|25.0|0|0.0|0
0|2020-05-19|541.0|0|25.0|0|0.0|0
0|2020-05-20|563.0|0|26.0|0|0.0|0
0|2020-05-21|576.0|0|26.0|0|0.0|0
0|2020-05-22|587.0|0|26.0|0|0.0|0
0|2020-05-23|587.0|0|26.0|0|0.0|0
