|dates|Shelby_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|3726.0|0|85.0|0|0.0|0
0|2020-05-18|3846.0|0|87.0|0|0.0|0
0|2020-05-19|3936.0|0|87.0|0|0.0|0
0|2020-05-20|3936.0|0|87.0|0|0.0|0
0|2020-05-21|4033.0|0|91.0|0|0.0|0
0|2020-05-22|4127.0|0|92.0|0|0.0|0
0|2020-05-23|4127.0|0|92.0|0|0.0|0
