|dates|Madera_California_UnitedStates.JHU_ConfirmedCases.data|Madera_California_UnitedStates.JHU_ConfirmedCases.missing|Madera_California_UnitedStates.JHU_ConfirmedDeaths.data|Madera_California_UnitedStates.JHU_ConfirmedDeaths.missing|Madera_California_UnitedStates.JHU_ConfirmedRecoveries.data|Madera_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|71.0|0|2.0|0|0.0|0
0|2020-05-18|71.0|0|2.0|0|0.0|0
0|2020-05-19|81.0|0|2.0|0|0.0|0
0|2020-05-20|82.0|0|2.0|0|0.0|0
0|2020-05-21|82.0|0|2.0|0|0.0|0
0|2020-05-22|83.0|0|2.0|0|0.0|0
0|2020-05-23|83.0|0|2.0|0|0.0|0
