|dates|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|10.0|0|0.0|0|0.0|0
0|2020-05-28|10.0|0|0.0|0|0.0|0
0|2020-05-29|10.0|0|0.0|0|0.0|0
0|2020-05-30|10.0|0|0.0|0|0.0|0
