|dates|Fauquier_Virginia_UnitedStates.JHU_ConfirmedCases.data|Fauquier_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Fauquier_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Fauquier_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Fauquier_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Fauquier_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|213.0|0|5.0|0|0.0|0
0|2020-05-18|223.0|0|5.0|0|0.0|0
0|2020-05-19|243.0|0|5.0|0|0.0|0
0|2020-05-20|251.0|0|5.0|0|0.0|0
0|2020-05-21|261.0|0|5.0|0|0.0|0
0|2020-05-22|267.0|0|5.0|0|0.0|0
0|2020-05-23|267.0|0|5.0|0|0.0|0
