|dates|Monroe_Alabama_UnitedStates.JHU_ConfirmedCases.data|Monroe_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|18.0|0|2.0|0|0.0|0
0|2020-05-15|18.0|0|2.0|0|0.0|0
0|2020-05-16|18.0|0|2.0|0|0.0|0
