|dates|Shawnee_Kansas_UnitedStates.JHU_ConfirmedCases.data|Shawnee_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Shawnee_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Shawnee_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Shawnee_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Shawnee_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|185.0|0|5.0|0|0.0|0
0|2020-05-18|198.0|0|5.0|0|0.0|0
0|2020-05-19|199.0|0|5.0|0|0.0|0
0|2020-05-20|217.0|0|6.0|0|0.0|0
0|2020-05-21|234.0|0|6.0|0|0.0|0
0|2020-05-22|247.0|0|6.0|0|0.0|0
0|2020-05-23|247.0|0|6.0|0|0.0|0
