|dates|RedRiver_Texas_UnitedStates.JHU_ConfirmedCases.data|RedRiver_Texas_UnitedStates.JHU_ConfirmedCases.missing|RedRiver_Texas_UnitedStates.JHU_ConfirmedDeaths.data|RedRiver_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|RedRiver_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|RedRiver_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|50.0|0|5.0|0|0.0|0
0|2020-05-28|50.0|0|5.0|0|0.0|0
0|2020-05-29|50.0|0|5.0|0|0.0|0
0|2020-05-30|50.0|0|5.0|0|0.0|0
