|dates|Benton_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Benton_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Benton_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|169.0|0|2.0|0|0.0|0
0|2020-05-28|169.0|0|2.0|0|0.0|0
0|2020-05-29|169.0|0|2.0|0|0.0|0
0|2020-05-30|169.0|0|2.0|0|0.0|0
