|dates|Hughes_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Hughes_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Hughes_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Hughes_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Hughes_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Hughes_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|19.0|0|0.0|0|0.0|0
0|2020-05-25|19.0|0|0.0|0|0.0|0
0|2020-05-26|19.0|0|0.0|0|0.0|0
