|dates|Harris_Georgia_UnitedStates.JHU_ConfirmedCases.data|Harris_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Harris_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Harris_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Harris_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Harris_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|88.0|0|5.0|0|0.0|0
0|2020-05-28|88.0|0|5.0|0|0.0|0
0|2020-05-29|88.0|0|5.0|0|0.0|0
0|2020-05-30|88.0|0|5.0|0|0.0|0
