|dates|Kemper_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Kemper_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Kemper_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Kemper_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Kemper_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Kemper_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|100.0|0|8.0|0|0.0|0
0|2020-05-18|102.0|0|9.0|0|0.0|0
0|2020-05-19|105.0|0|10.0|0|0.0|0
0|2020-05-20|110.0|0|10.0|0|0.0|0
0|2020-05-21|112.0|0|10.0|0|0.0|0
0|2020-05-22|116.0|0|10.0|0|0.0|0
0|2020-05-23|116.0|0|10.0|0|0.0|0
