|dates|Washington_Maine_UnitedStates.JHU_ConfirmedCases.data|Washington_Maine_UnitedStates.JHU_ConfirmedCases.missing|Washington_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|2.0|0|0.0|0|0.0|0
0|2020-05-15|2.0|0|0.0|0|0.0|0
0|2020-05-16|2.0|0|0.0|0|0.0|0
