|dates|Itasca_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Itasca_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Itasca_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Itasca_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Itasca_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Itasca_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|46.0|0|5.0|0|0.0|0
0|2020-05-18|49.0|0|5.0|0|0.0|0
0|2020-05-19|49.0|0|6.0|0|0.0|0
0|2020-05-20|50.0|0|6.0|0|0.0|0
0|2020-05-21|51.0|0|6.0|0|0.0|0
0|2020-05-22|51.0|0|6.0|0|0.0|0
0|2020-05-23|51.0|0|6.0|0|0.0|0
