|dates|Louisa_Virginia_UnitedStates.JHU_ConfirmedCases.data|Louisa_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Louisa_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Louisa_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Louisa_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Louisa_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|59.0|0|0.0|0|0.0|0
0|2020-05-18|60.0|0|0.0|0|0.0|0
0|2020-05-19|60.0|0|0.0|0|0.0|0
0|2020-05-20|61.0|0|0.0|0|0.0|0
0|2020-05-21|64.0|0|0.0|0|0.0|0
0|2020-05-22|67.0|0|1.0|0|0.0|0
0|2020-05-23|67.0|0|1.0|0|0.0|0
