|dates|Fayette_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Fayette_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|110.0|0|2.0|0|0.0|0
0|2020-05-28|110.0|0|2.0|0|0.0|0
0|2020-05-29|110.0|0|2.0|0|0.0|0
0|2020-05-30|110.0|0|2.0|0|0.0|0
