|dates|Botetourt_Virginia_UnitedStates.JHU_ConfirmedCases.data|Botetourt_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Botetourt_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Botetourt_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Botetourt_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Botetourt_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|31.0|0|4.0|0|0.0|0
0|2020-05-25|32.0|0|4.0|0|0.0|0
0|2020-05-26|32.0|0|4.0|0|0.0|0
