|dates|Crawford_Illinois_UnitedStates.JHU_ConfirmedCases.data|Crawford_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Crawford_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Crawford_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Crawford_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Crawford_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|11.0|0|0.0|0|0.0|0
0|2020-05-28|11.0|0|0.0|0|0.0|0
0|2020-05-29|11.0|0|0.0|0|0.0|0
0|2020-05-30|11.0|0|0.0|0|0.0|0
