|dates|Ellis_Texas_UnitedStates.JHU_ConfirmedCases.data|Ellis_Texas_UnitedStates.JHU_ConfirmedCases.missing|Ellis_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Ellis_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Ellis_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Ellis_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|247.0|0|12.0|0|0.0|0
0|2020-05-18|247.0|0|12.0|0|0.0|0
0|2020-05-19|258.0|0|12.0|0|0.0|0
0|2020-05-20|264.0|0|12.0|0|0.0|0
0|2020-05-21|266.0|0|12.0|0|0.0|0
0|2020-05-22|266.0|0|12.0|0|0.0|0
0|2020-05-23|266.0|0|12.0|0|0.0|0
