|dates|Wise_Texas_UnitedStates.JHU_ConfirmedCases.data|Wise_Texas_UnitedStates.JHU_ConfirmedCases.missing|Wise_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Wise_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Wise_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Wise_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|36.0|0|2.0|0|0.0|0
0|2020-05-18|36.0|0|2.0|0|0.0|0
0|2020-05-19|38.0|0|2.0|0|0.0|0
0|2020-05-20|38.0|0|2.0|0|0.0|0
0|2020-05-21|42.0|0|2.0|0|0.0|0
0|2020-05-22|42.0|0|2.0|0|0.0|0
0|2020-05-23|42.0|0|2.0|0|0.0|0
