|dates|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|3231.0|0|73.0|0|0.0|0
0|2020-05-25|3380.0|0|73.0|0|0.0|0
0|2020-05-26|3380.0|0|73.0|0|0.0|0
