|dates|Henderson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Henderson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Henderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|14.0|0|0.0|0|0.0|0
0|2020-05-28|14.0|0|0.0|0|0.0|0
0|2020-05-29|14.0|0|0.0|0|0.0|0
0|2020-05-30|14.0|0|0.0|0|0.0|0
