|dates|Valdez-Cordova_Alaska_UnitedStates.JHU_ConfirmedCases.data|Valdez-Cordova_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Valdez-Cordova_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Valdez-Cordova_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Valdez-Cordova_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Valdez-Cordova_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|0.0|0|0.0|0|0.0|0
0|2020-05-25|0.0|0|0.0|0|0.0|0
0|2020-05-26|0.0|0|0.0|0|0.0|0
