|dates|Covington_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Covington_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Covington_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Covington_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Covington_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Covington_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|105.0|0|0.0|0|0.0|0
0|2020-05-18|108.0|0|0.0|0|0.0|0
0|2020-05-19|110.0|0|1.0|0|0.0|0
0|2020-05-20|117.0|0|1.0|0|0.0|0
0|2020-05-21|123.0|0|1.0|0|0.0|0
0|2020-05-22|125.0|0|1.0|0|0.0|0
0|2020-05-23|125.0|0|1.0|0|0.0|0
