|dates|Mahaska_Iowa_UnitedStates.JHU_ConfirmedCases.data|Mahaska_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Mahaska_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Mahaska_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Mahaska_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Mahaska_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|88.0|0|8.0|0|0.0|0
0|2020-05-28|88.0|0|8.0|0|0.0|0
0|2020-05-29|88.0|0|8.0|0|0.0|0
0|2020-05-30|88.0|0|8.0|0|0.0|0
