|dates|Polk_Oregon_UnitedStates.JHU_ConfirmedCases.data|Polk_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Polk_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|93.0|0|9.0|0|0.0|0
0|2020-05-18|93.0|0|9.0|0|0.0|0
0|2020-05-19|93.0|0|9.0|0|0.0|0
0|2020-05-20|94.0|0|9.0|0|0.0|0
0|2020-05-21|94.0|0|10.0|0|0.0|0
0|2020-05-22|95.0|0|10.0|0|0.0|0
0|2020-05-23|95.0|0|10.0|0|0.0|0
