|dates|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|30.0|0|1.0|0|0.0|0
0|2020-05-18|32.0|0|1.0|0|0.0|0
0|2020-05-19|32.0|0|1.0|0|0.0|0
0|2020-05-20|33.0|0|1.0|0|0.0|0
0|2020-05-21|33.0|0|1.0|0|0.0|0
0|2020-05-22|38.0|0|1.0|0|0.0|0
0|2020-05-23|38.0|0|1.0|0|0.0|0
