|dates|Dauphin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Dauphin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Dauphin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Dauphin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Dauphin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Dauphin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|1174.0|0|66.0|0|0.0|0
0|2020-05-28|1174.0|0|66.0|0|0.0|0
0|2020-05-29|1174.0|0|66.0|0|0.0|0
0|2020-05-30|1174.0|0|66.0|0|0.0|0
