|dates|Unassigned_Florida_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Florida_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|85.0|0|0.0|0|0.0|0
0|2020-05-25|85.0|0|0.0|0|0.0|0
0|2020-05-26|85.0|0|0.0|0|0.0|0
