|dates|NezPerce_Idaho_UnitedStates.JHU_ConfirmedCases.data|NezPerce_Idaho_UnitedStates.JHU_ConfirmedCases.missing|NezPerce_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|NezPerce_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|NezPerce_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|NezPerce_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|82.0|0|19.0|0|0.0|0
0|2020-05-28|82.0|0|19.0|0|0.0|0
0|2020-05-29|82.0|0|19.0|0|0.0|0
0|2020-05-30|82.0|0|19.0|0|0.0|0
