|dates|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedCases.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|14.0|0|1.0|0|0.0|0
0|2020-05-25|15.0|0|1.0|0|0.0|0
0|2020-05-26|15.0|0|1.0|0|0.0|0
