|dates|White_Arkansas_UnitedStates.JHU_ConfirmedCases.data|White_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|White_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|White_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|White_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|White_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|36.0|0|1.0|0|0.0|0
0|2020-05-15|36.0|0|1.0|0|0.0|0
0|2020-05-16|36.0|0|1.0|0|0.0|0
