|dates|Northampton_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Northampton_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Northampton_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Northampton_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Northampton_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Northampton_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|128.0|0|9.0|0|0.0|0
0|2020-05-15|129.0|0|9.0|0|0.0|0
0|2020-05-16|129.0|0|9.0|0|0.0|0
