|dates|Murray_Georgia_UnitedStates.JHU_ConfirmedCases.data|Murray_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Murray_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Murray_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Murray_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Murray_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|55.0|0|1.0|0|0.0|0
0|2020-05-15|59.0|0|1.0|0|0.0|0
0|2020-05-16|59.0|0|1.0|0|0.0|0
