|dates|Crawford_Iowa_UnitedStates.JHU_ConfirmedCases.data|Crawford_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Crawford_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Crawford_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Crawford_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Crawford_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|300.0|0|1.0|0|0.0|0
0|2020-05-15|336.0|0|1.0|0|0.0|0
0|2020-05-16|336.0|0|1.0|0|0.0|0
