|dates|Coosa_Alabama_UnitedStates.JHU_ConfirmedCases.data|Coosa_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Coosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Coosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Coosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Coosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|33.0|0|1.0|0|0.0|0
0|2020-05-25|34.0|0|1.0|0|0.0|0
0|2020-05-26|34.0|0|1.0|0|0.0|0
