|dates|Talladega_Alabama_UnitedStates.JHU_ConfirmedCases.data|Talladega_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Talladega_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Talladega_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Talladega_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Talladega_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|91.0|0|2.0|0|0.0|0
0|2020-05-25|91.0|0|2.0|0|0.0|0
0|2020-05-26|91.0|0|2.0|0|0.0|0
