|dates|Marion_Illinois_UnitedStates.JHU_ConfirmedCases.data|Marion_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Marion_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|47.0|0|0.0|0|0.0|0
0|2020-05-15|47.0|0|0.0|0|0.0|0
0|2020-05-16|47.0|0|0.0|0|0.0|0
