|dates|Bowie_Texas_UnitedStates.JHU_ConfirmedCases.data|Bowie_Texas_UnitedStates.JHU_ConfirmedCases.missing|Bowie_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Bowie_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Bowie_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Bowie_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|120.0|0|2.0|0|0.0|0
0|2020-05-15|122.0|0|2.0|0|0.0|0
0|2020-05-16|122.0|0|2.0|0|0.0|0
