|dates|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|26.0|0|0.0|0|0.0|0
0|2020-05-25|25.0|0|0.0|0|0.0|0
0|2020-05-26|25.0|0|0.0|0|0.0|0
