|dates|Wilkes_Georgia_UnitedStates.JHU_ConfirmedCases.data|Wilkes_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Wilkes_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Wilkes_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Wilkes_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Wilkes_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|33.0|0|1.0|0|0.0|0
0|2020-05-28|33.0|0|1.0|0|0.0|0
0|2020-05-29|33.0|0|1.0|0|0.0|0
0|2020-05-30|33.0|0|1.0|0|0.0|0
