|dates|Geauga_Ohio_UnitedStates.JHU_ConfirmedCases.data|Geauga_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Geauga_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Geauga_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Geauga_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Geauga_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|220.0|0|24.0|0|0.0|0
0|2020-05-18|221.0|0|24.0|0|0.0|0
0|2020-05-19|226.0|0|26.0|0|0.0|0
0|2020-05-20|231.0|0|27.0|0|0.0|0
0|2020-05-21|241.0|0|27.0|0|0.0|0
0|2020-05-22|248.0|0|27.0|0|0.0|0
0|2020-05-23|248.0|0|27.0|0|0.0|0
